date,attendance,away_team,away_team_score,home_team,home_team_score,notes,overtime,playoff,start_et
1999-02-05,19806,Cleveland Cavaliers,83,Atlanta Hawks,100,,,False,
1999-02-05,17892,Toronto Raptors,103,Boston Celtics,92,,,False,
1999-02-05,21191,Philadelphia 76ers,78,Charlotte Hornets,66,,,False,
1999-02-05,17171,Minnesota Timberwolves,110,Denver Nuggets,92,,,False,
1999-02-05,16621,Washington Wizards,81,Indiana Pacers,96,,,False,
1999-02-05,7689,Phoenix Suns,101,Los Angeles Clippers,92,,,False,
1999-02-05,17505,Houston Rockets,91,Los Angeles Lakers,99,,,False,
1999-02-05,15200,Detroit Pistons,95,Miami Heat,81,,,False,
1999-02-05,17248,New York Knicks,85,Orlando Magic,93,,,False,
1999-02-05,19002,Sacramento Kings,83,San Antonio Spurs,101,,,False,
1999-02-05,17072,Dallas Mavericks,86,Seattle SuperSonics,92,,OT,False,
1999-02-05,19911,Chicago Bulls,96,Utah Jazz,104,,,False,
1999-02-06,21194,New Jersey Nets,106,Atlanta Hawks,111,,,False,
1999-02-06,18173,Cleveland Cavaliers,73,Boston Celtics,77,,,False,
1999-02-06,18820,Milwaukee Bucks,113,Charlotte Hornets,107,,OT,False,
1999-02-06,18215,Houston Rockets,86,Golden State Warriors,84,,,False,
1999-02-06,20143,Orlando Magic,75,Philadelphia 76ers,95,,,False,
1999-02-06,21319,Minnesota Timberwolves,82,San Antonio Spurs,96,,,False,
1999-02-06,19335,Toronto Raptors,97,Washington Wizards,98,,,False,
1999-02-07,18877,Indiana Pacers,98,Detroit Pistons,107,,,False,
1999-02-07,12039,Dallas Mavericks,102,Golden State Warriors,99,,2OT,False,
1999-02-07,6118,Chicago Bulls,89,Los Angeles Clippers,84,,,False,
1999-02-07,17505,Utah Jazz,100,Los Angeles Lakers,91,,,False,
1999-02-07,18545,Atlanta Hawks,69,New Jersey Nets,79,,,False,
1999-02-07,19763,Miami Heat,83,New York Knicks,79,,,False,
1999-02-07,19023,Denver Nuggets,108,Phoenix Suns,115,,,False,
1999-02-07,17317,Vancouver Grizzlies,87,Sacramento Kings,109,,,False,
1999-02-07,17072,Portland Trail Blazers,88,Seattle SuperSonics,91,,,False,
1999-02-08,18044,Miami Heat,91,Charlotte Hornets,94,,,False,
1999-02-08,17139,Indiana Pacers,95,Cleveland Cavaliers,89,,,False,
1999-02-08,14210,Washington Wizards,103,Detroit Pistons,106,,,False,
1999-02-08,16285,Denver Nuggets,80,Houston Rockets,99,,,False,
1999-02-08,15410,Boston Celtics,90,Orlando Magic,107,,,False,
1999-02-08,33788,Los Angeles Lakers,80,San Antonio Spurs,75,,,False,
1999-02-08,18353,Portland Trail Blazers,95,Vancouver Grizzlies,76,,,False,
1999-02-09,22553,Atlanta Hawks,87,Chicago Bulls,71,,,False,
1999-02-09,17070,Utah Jazz,90,Dallas Mavericks,79,,,False,
1999-02-09,15200,Boston Celtics,108,Miami Heat,101,,,False,
1999-02-09,16422,San Antonio Spurs,70,Minnesota Timberwolves,74,,,False,
1999-02-09,15871,Detroit Pistons,86,Philadelphia 76ers,90,,,False,
1999-02-09,18217,Sacramento Kings,112,Phoenix Suns,95,,,False,
1999-02-09,17072,Golden State Warriors,71,Seattle SuperSonics,90,,,False,
1999-02-09,14577,Milwaukee Bucks,91,Toronto Raptors,77,"at Toronto, Canada (Maple Leaf Gardens)",,False,
1999-02-10,18049,Cleveland Cavaliers,87,Charlotte Hornets,77,,,False,
1999-02-10,13210,Los Angeles Lakers,103,Denver Nuggets,98,,,False,
1999-02-10,8137,Seattle SuperSonics,89,Golden State Warriors,82,,,False,
1999-02-10,16285,Sacramento Kings,82,Houston Rockets,92,,,False,
1999-02-10,13217,Orlando Magic,89,New Jersey Nets,81,,,False,
1999-02-10,19763,Washington Wizards,88,New York Knicks,101,,,False,
1999-02-10,19980,Indiana Pacers,92,Portland Trail Blazers,100,,,False,
1999-02-10,14818,Los Angeles Clippers,99,Vancouver Grizzlies,105,,,False,
1999-02-11,8611,Charlotte Hornets,88,Atlanta Hawks,100,"at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)",,False,
1999-02-11,22194,New York Knicks,73,Chicago Bulls,68,,,False,
1999-02-11,14228,San Antonio Spurs,89,Cleveland Cavaliers,99,,,False,
1999-02-11,18121,Houston Rockets,105,Dallas Mavericks,95,,,False,
1999-02-11,17783,Orlando Magic,87,Detroit Pistons,81,,,False,
1999-02-11,14832,Toronto Raptors,84,Miami Heat,102,,,False,
1999-02-11,18031,New Jersey Nets,75,Milwaukee Bucks,95,,,False,
1999-02-11,19006,Los Angeles Lakers,75,Minnesota Timberwolves,86,,,False,
1999-02-11,19023,Utah Jazz,82,Phoenix Suns,74,,,False,
1999-02-11,14914,Indiana Pacers,101,Vancouver Grizzlies,97,,,False,
1999-02-12,10012,Dallas Mavericks,94,Denver Nuggets,100,,,False,
1999-02-12,11022,Utah Jazz,97,Golden State Warriors,81,,,False,
1999-02-12,16892,San Antonio Spurs,98,Philadelphia 76ers,94,,,False,
1999-02-13,19023,Los Angeles Clippers,104,Phoenix Suns,107,,OT,False,
1999-02-13,17072,Denver Nuggets,92,Seattle SuperSonics,105,,,False,
1999-02-14,22386,San Antonio Spurs,89,Chicago Bulls,76,,,False,
1999-02-14,10847,Portland Trail Blazers,100,Golden State Warriors,105,,2OT,False,
1999-02-14,8592,Minnesota Timberwolves,95,Los Angeles Clippers,73,,,False,
1999-02-14,17505,Indiana Pacers,101,Los Angeles Lakers,99,,,False,
1999-02-14,15914,Milwaukee Bucks,82,Orlando Magic,85,,,False,
1999-02-14,13307,Atlanta Hawks,70,Philadelphia 76ers,78,,,False,
1999-02-14,16059,Dallas Mavericks,92,Vancouver Grizzlies,96,,,False,
1999-02-15,10415,Phoenix Suns,115,Denver Nuggets,106,,,False,
1999-02-15,13118,Minnesota Timberwolves,99,Golden State Warriors,101,,,False,
1999-02-15,15200,New Jersey Nets,72,Miami Heat,95,,,False,
1999-02-15,19763,Detroit Pistons,69,New York Knicks,78,,,False,
1999-02-15,18231,Dallas Mavericks,84,Portland Trail Blazers,99,,,False,
